/Users/sean/.cache/uv/archive-v0/STMO0wp8zVYYYYzNGD09W/lib/python3.13/site-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
band	chromosome	start	stop
1A1	X	122493	350504
1A2	X	315123	470726
1A5	X	279703	367072
1A6	X	362399	377642
1A7	X	385558	393227
1A8	X	391835	397497
1B1	X	409721	410817
1B2	X	436139	437448
1B3	X	460747	463176
1B4	X	316576	487581
1B5	X	482777	509072
1B6	X	498097	499456
1B7	X	496446	528028
1B8	X	509235	530291
1B9	X	527941	579044
1B10	X	530501	620195
1B12	X	585081	635545
1B13	X	633622	656033
1B14	X	648483	657899
1C2	X	686834	749496
1C3	X	686834	758719
1C4	X	750347	790566
1C5	X	793147	927975
1D1	X	844823	863200
1D2	X	875732	947500
1D3	X	946662	951900
1D4	X	968496	991184
1E1	X	990518	1134896
1E3	X	1047242	1188585
1E4	X	1046224	1236684
1E5	X	1215289	1275284
1F1	X	1242740	1288945
1F2	X	1289713	1322362
1F3	X	1289713	1344770
1F4	X	1342106	1357601
2A1	X	1369249	1397337
2A2	X	1409069	1453686
2A3	X	1452430	1454177
2A4	X	1452430	1476974
2B1	X	1461844	1517615
2B2	X	1523554	1668788
2B4	X	1523554	1668788
2B5	X	1575132	1673608
2B6	X	1669570	1692768
2B7	X	1673110	1710182
2B8	X	1735945	1754065
2B9	X	1773719	1853667
2B10	X	1773719	1853667
2B12	X	1857889	1861790
2B13	X	1859141	1877270
2B14	X	1876294	1901911
2B15	X	1900699	1920318
2B16	X	1908239	2007956
2B17	X	2010860	2024647
2C1	X	1941940	2010287
2C2	X	2009957	2010417
2C4	X	2023822	2042311
2C5	X	2029004	2029094
2C7	X	2023822	2055414
2C8	X	2041868	2066359
2C9	X	2065273	2073483
2C10	X	2066435	2093948
2D1	X	2080610	2115701
2D2	X	2094234	2138371
2D3	X	2126210	2138371
2D4	X	2141489	2158983
2D5	X	2149936	2162180
2D6	X	2159145	2173432
2E1	X	2172526	2205373
2E2	X	2189188	2222567
2E3	X	2214347	2222567
2F1	X	2223754	2246041
2F2	X	2242138	2270761
2F3	X	2264657	2275068
2F4	X	2271008	2293411
2F5	X	2278031	2293411
2F6	X	2321758	2328941
3A1	X	2295466	2366356
3A2	X	2344949	2425855
3A3	X	2427113	2545410
3A4	X	2470460	2578640
3A6	X	2552206	2606824
3A7	X	2604197	2622140
3A8	X	2619799	2679553
3A9	X	2624804	2633672
3B1	X	2624804	2692780
3B2	X	2685580	2711668
3B3	X	2708684	2738773
3B4	X	2732469	2751416
3B6	X	2782906	2796466
3C1	X	2809881	2810846
3C2	X	2871884	2894232
3C3	X	2740384	3134532
3C4	X	2950399	2973834
3C6	X	3066615	3067562
3C7	X	2740384	3172221
3C9	X	3134870	3343767
3C10	X	3236130	3251040
3D1	X	3176440	3348400
3D2	X	3363686	3522787
3D3	X	3387944	3460240
3D4	X	3373159	3571649
3D5	X	3373159	3546110
3D6	X	3507245	3666724
3E2	X	3574536	3671502
3E4	X	3671801	3701672
3E5	X	3671801	3719635
3E6	X	3704610	3719635
3E7	X	3720007	3789770
3F1	X	3720007	3797339
3F2	X	3793223	3857621
3F3	X	3811698	3871939
3F4	X	3862966	3930578
3F7	X	3891497	3940582
3F8	X	3940847	3944265
3F9	X	3940847	3955442
4A1	X	3955543	4001607
4A2	X	4047596	4049204
4A3	X	4062859	4064506
4A5	X	4075978	4113734
4A6	X	4111156	4117487
4B1	X	4114800	4206093
4B3	X	4132887	4223331
4B4	X	4241887	4277961
4B5	X	4300117	4302346
4B6	X	4300117	4365408
4C1	X	4322626	4365898
4C2	X	4366179	4611385
4C3	X	4412856	4485647
4C4	X	4412856	4485647
4C7	X	4530231	4560317
4C8	X	4570991	4571929
4C9	X	4387676	4611385
4C10	X	4617564	4647414
4C11	X	4645127	4679537
4C12	X	4667290	4686903
4C13	X	4679988	4702034
4C14	X	4687800	4729487
4C15	X	4707916	4729487
4D1	X	4768727	4804862
4D2	X	4797231	4826833
4D3	X	4874000	4877263
4D5	X	4840833	4918447
4D6	X	4915280	4938105
4D7	X	4939128	5063868
4E1	X	4985671	4998388
4E2	X	4956646	5254864
4F1	X	5131898	5132985
4F2	X	5085759	5254864
4F3	X	5085759	5254864
4F4	X	5296066	5315190
4F5	X	5313258	5405138
4F9	X	5340236	5420867
4F10	X	5412386	5435797
4F11	X	5446656	5494012
5A1	X	5446656	5501229
5A2	X	5500208	5524465
5A3	X	5528927	5612865
5A6	X	5528927	5612865
5A7	X	5613325	5614467
5A8	X	5613325	5625493
5A9	X	5625676	5662861
5A10	X	5663114	5670652
5A11	X	5666052	5679977
5A12	X	5673830	5689473
5A13	X	5685253	5695205
5A14	X	5692945	5697660
5B1	X	5697123	5717778
5B2	X	5708559	5738031
5B3	X	5719374	5738031
5B4	X	5738663	5747254
5B6	X	5738663	5754958
5B7	X	5753390	5754958
5B8	X	5755492	5770780
5C2	X	5764553	5840823
5C3	X	5818559	5846106
5C4	X	5853761	5854464
5C5	X	5864550	5879787
5C6	X	5877000	5899989
5C7	X	5900861	5941852
5C10	X	5917097	5954046
5D1	X	5955629	6000797
5D2	X	5997508	6050381
5D3	X	6040005	6077786
5D4	X	6078708	6103971
5D5	X	6091205	6192483
5D6	X	6104085	6192483
5D8	X	6194737	6198654
5E1	X	6199216	6255487
5E3	X	6240745	6267228
5E4	X	6257668	6280752
5E5	X	6282037	6294177
5E6	X	6291303	6298970
5E7	X	6295389	6306745
5E8	X	6303975	6329828
5F1	X	6309212	6333028
5F2	X	6330842	6361323
5F4	X	6350629	6372915
5F5	X	6384220	6384899
5F6	X	6399455	6400100
6A1	X	6418760	6524323
6A2	X	6471673	6478849
6B1	X	6423123	6538575
6B2	X	6533999	6538575
6B3	X	6540771	6589173
6C1	X	6540771	6653015
6C2	X	6633959	6637548
6C3	X	6600062	6661462
6C4	X	6660552	6677176
6C5	X	6674387	6683696
6C6	X	6683798	6695007
6C7	X	6689296	6719389
6C9	X	6699508	6739986
6C10	X	6720004	6746423
6C11	X	6744879	6755752
6C12	X	6747544	6770712
6C13	X	6756322	6779659
6D1	X	6771463	6779659
6D2	X	6780790	6813830
6D3	X	6803684	6838122
6D4	X	6824496	6843921
6D5	X	6838174	6847847
6D6	X	6844341	6851884
6D7	X	6849770	6867194
6D8	X	6860339	6863235
6E1	X	6851909	6881580
6E2	X	6863888	6881580
6E3	X	6950510	6968750
6E4	X	6908277	7066052
6F1	X	7021608	7072689
6F3	X	7069413	7098053
6F5	X	7074550	7110321
6F7	X	7120374	7120741
6F9	X	7134517	7135480
6F10	X	7137723	7241932
6F11	X	7145600	7149850
7A1	X	7166451	7405797
7A5	X	7137723	7241932
7A7	X	7266904	7267883
7A8	X	7281089	7405797
7B	X	7899624	7901331
7B1	X	7286358	7332191
7B2	X	7166451	7461088
7B3	X	7487552	7557844
7B4	X	7555778	7678859
7B6	X	7609148	7717932
7B7	X	7722119	7739978
7B8	X	7764982	7779370
7C1	X	7826197	7891646
7C2	X	7893053	7918444
7C3	X	7912089	7931382
7C4	X	7922158	7933351
7C6	X	7933742	7934677
7C7	X	7933742	7934677
7C8	X	7934898	7953883
7C9	X	7935896	7953883
7D1	X	7953852	7986601
7D2	X	7964024	8027394
7D3	X	8035741	8061436
7D5	X	8037808	8087213
7D6	X	8084018	8135713
7D12	X	8129812	8134967
7D13	X	8132285	8134967
7D14	X	8121280	8142279
7D15	X	8137041	8147855
7D16	X	8145839	8157386
7D17	X	8157628	8240474
7D18	X	8408008	8411658
7D22	X	8178549	8248033
7E	X	8409272	8433011
7E1	X	8242528	8367169
7E2	X	8324491	8325189
7E4	X	8276200	8367169
7E5	X	8385781	8389504
7E6	X	8385781	8407263
7E7	X	8409272	8433011
7E9	X	8433087	8455069
7E10	X	8447691	8555170
7E11	X	8456837	8464438
7F1	X	8408008	8517029
7F2	X	8489348	8517029
7F3	X	8525387	8529698
7F4	X	8517373	8570948
7F5	X	8570208	8588528
7F7	X	8574306	8602036
7F8	X	8592031	8606304
7F10	X	8630159	8650681
8A1	X	8630159	8688760
8A2	X	8681252	8720277
8A3	X	8716713	8725901
8A5	X	8756539	8805804
8B2	X	8756539	8805804
8B3	X	8835306	8872774
8B4	X	8838323	8898332
8B6	X	8873012	8900264
8B7	X	8901699	8906248
8B8	X	8907068	9029476
8C1	X	8965801	9048991
8C3	X	8907068	9029476
8C4	X	8972908	9085867
8C7	X	9082931	9088073
8C8	X	9087129	9103739
8C9	X	9093612	9117744
8C10	X	9108691	9117744
8C11	X	9120721	9135099
8C13	X	9121973	9147894
8C14	X	9142493	9163153
8C15	X	9162092	9189309
8C17	X	9163255	9195333
8D1	X	9193898	9223257
8D2	X	9225437	9250037
8D3	X	9247342	9267698
8D4	X	9261376	9283117
8D5	X	9275318	9303636
8D6	X	9284649	9315171
8D7	X	9317915	9356227
8D8	X	9329016	9330487
8D9	X	9324508	9358594
8D10	X	9358496	9500129
8E2	X	9445815	9446212
8E4	X	9502826	9550838
8E7	X	9533818	9571308
8E10	X	9558665	9590619
8E12	X	9595082	9595467
8F1	X	9601030	9608884
8F2	X	9608946	9659145
8F6	X	9626294	9662903
8F7	X	9665442	9687066
8F9	X	9688189	9689295
8F10	X	9688189	9697558
9A1	X	9727923	9855449
9A2	X	9783223	9871702
9A3	X	9871098	9977405
9A4	X	9966615	10048156
9A5	X	10016845	10055498
9B1	X	10055629	10208574
9B2	X	10086527	10195337
9B3	X	10204400	10212374
9B4	X	10114340	10233080
9B5	X	10233347	10265263
9B6	X	10266792	10325958
9B7	X	10266792	10366273
9B12	X	10348680	10383580
9B13	X	10376651	10381352
9B14	X	10368052	10409817
9C1	X	10385960	10454895
9C2	X	10432465	10443989
9C4	X	10410391	10461878
9C5	X	10460736	10474675
9D1	X	10461865	10481943
9D2	X	10478838	10585422
9D3	X	10565842	10602714
9D4	X	10596122	10710947
9E1	X	10627737	10749097
9E2	X	10711163	10757666
9E4	X	10749077	10764413
9E6	X	10760048	10768338
9E7	X	10764878	10772154
9E8	X	10768537	10778981
9E9	X	10772541	10786907
9E10	X	10780893	10786958
9F1	X	10778954	10786958
9F2	X	10787869	10824277
9F4	X	10787869	10847092
9F5	X	10832752	10877893
9F6	X	10869284	10870705
9F7	X	10870594	10891250
9F8	X	10878054	10923436
9F11	X	10905767	10929712
9F12	X	10927399	10929712
9F13	X	10930840	11039901
10A3	X	11044756	11063170
10A4	X	11065860	11124726
10A6	X	11112395	11139689
10A7	X	11137859	11141835
10A8	X	11140474	11164670
10A10	X	11168030	11183476
10A11	X	11193158	11193491
10B1	X	11202248	11302783
10B2	X	11308533	11322357
10B3	X	11324294	11355539
10B4	X	11350608	11358724
10B5	X	11355881	11368098
10B6	X	11360930	11409776
10B10	X	11369665	11417422
10B11	X	11422832	11454386
10B13	X	11442539	11446012
10B14	X	11430523	11459227
10B15	X	11459786	11486566
10B16	X	11485250	11491573
10C1	X	11486546	11555045
10C4	X	11547422	11547497
10C5	X	11493135	11558654
10C6	X	11561643	11572442
10C7	X	11571383	11585750
